page_id_from    page_title_from page_id_to      page_title_to
12	Anarchism	640476	Francesc Ferrer i GuÃ rdia
12	Anarchism	32174465	Francesc Pi i Margall
12	Anarchism	11466	Francisco Franco
12	Anarchism	294034	Francoist Spain
12	Anarchism	14900759	Fraye Arbeter Shtime
12	Anarchism	56510700	Free association (communism and anarchism)
12	Anarchism	250548	Free love
12	Anarchism	11826	Free market
12	Anarchism	14852467	Free Society
12	Anarchism	4967825	Free Territory
12	Anarchism	277206	Freethought
12	Anarchism	253228	Freetown Christiania
12	Anarchism	11188	French Revolution
12	Anarchism	47096	Friedrich Engels
12	Anarchism	4963629	From each according to his ability
12	Anarchism	47108296	G8
12	Anarchism	54437991	Gay American History: Lesbians and Gay Men in the U.S.A.
12	Anarchism	947704	Gay Liberation Front
12	Anarchism	324642	General Confederation of Labour (France)
12	Anarchism	41138909	General strike
12	Anarchism	6727935	Geoffrey Ostergaard
12	Anarchism	187387	George I of Greece
12	Anarchism	148725	George Woodcock
12	Anarchism	11884	German language
12	Anarchism	511631	German Revolution of 1918â€“19
12	Anarchism	379855	Gerrard Winstanley
12	Anarchism	98514	Green anarchism
12	Anarchism	13011	Greenwich Village
12	Anarchism	209274	Gustave Courbet
12	Anarchism	1524127	Gustav Landauer
12	Anarchism	1915832	Hague Congress (1872)
12	Anarchism	33829123	Hakim Bey
12	Anarchism	22367417	Han Ryner
12	Anarchism	3409370	Harold Barclay
12	Anarchism	23466744	Haymarket affair
12	Anarchism	1585108	HÃ©bertists
12	Anarchism	426374	Hedonist
12	Anarchism	24883338	Henri Zisly
12	Anarchism	43421	Henry David Thoreau
12	Anarchism	674495	Herbert Read
12	Anarchism	162699	Heteronormativity
12	Anarchism	13473	Heterosexual
12	Anarchism	13998	Hierarchy
12	Anarchism	25020269	History of Germany since 1945
12	Anarchism	13306	History of Islam
12	Anarchism	5097395	Homophobia
12	Anarchism	13472	Homosexual
12	Anarchism	5488304	Homosexuality
12	Anarchism	5135982	Humanism
12	Anarchism	673601	Iberian Anarchist Federation
12	Anarchism	75469	Ideology
12	Anarchism	2616799	Illegalism
12	Anarchism	2457372	Imamate
12	Anarchism	25879157	Individual
12	Anarchism	15181	Individualism
12	Anarchism	14936	Individualist anarchism
12	Anarchism	30418740	Individualist anarchism in France
12	Anarchism	5879835	Individualist anarchism in the United States
12	Anarchism	24955086	Individual reappropriation
12	Anarchism	16064455	Individual reclamation
12	Anarchism	37062	Industrial Workers of the World
12	Anarchism	15254	Infinitive
12	Anarchism	45427392	In Our Time (BBC Radio 4)
12	Anarchism	43356519	Insurrectionary anarchism
12	Anarchism	11571092	Insurrection
12	Anarchism	13222117	International Anarchist Congress of Amsterdam
12	Anarchism	1997115	International Libertarian Solidarity
12	Anarchism	497999	International of Anarchist Federations
12	Anarchism	519047	International Workers' Association
12	Anarchism	26511407	International Workers Association
12	Anarchism	39353050	International Workers' Day
12	Anarchism	42437030	International Workingmen's Association
12	Anarchism	24083066	-ism
12	Anarchism	5773736	Issues in anarchism
12	Anarchism	236515	Ivan Illich
12	Anarchism	16205	Jacobin (politics)
12	Anarchism	873532	Jacques Ellul
12	Anarchism	1514626	James C. Scott
12	Anarchism	2032072	James Guillaume
12	Anarchism	1458429	Japanese Anarchist Federation
12	Anarchism	15941	Jean-Jacques Rousseau
12	Anarchism	1095706	Jesus
12	Anarchism	4532867	Jewish anarchism
12	Anarchism	605735	Johann Heinrich Pestalozzi
12	Anarchism	1292341	Johann Most
12	Anarchism	65954	John Cage
12	Anarchism	642015	John Henry Mackay
12	Anarchism	102262	John Zerzan
12	Anarchism	2330609	Jonathan Ned Katz
12	Anarchism	1739991	Joseph DÃ©jacque
12	Anarchism	15777	Joseph Goebbels
12	Anarchism	15641	Joseph Stalin
12	Anarchism	2056214	Josiah Warren
12	Anarchism	158661	Julian Beck
12	Anarchism	16743	Karl Marx
12	Anarchism	8964797	Kegan Paul
12	Anarchism	2410846	Kevin Carson
12	Anarchism	39863847	Kharijites
12	Anarchism	40556075	Kronstadt rebellion
12	Anarchism	46399250	Labour movement
12	Anarchism	206735	Labour unions
12	Anarchism	65119	Laozi
12	Anarchism	49498693	La Voz de la Mujer
